"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Shanghai","Shanghai","31.22222","121.45806","China","CN","","Shanghai","","24874500","1"
"Beijing","Beijing","39.9075","116.39723","China","CN","","Beijing","","18960744","2"
"Shenzhen","Shenzhen","22.54554","114.0683","China","CN","","Guangdong","","17494398","3"
"Guangzhou","Guangzhou","23.11667","113.25","China","CN","","Guangdong","","16096724","4"
"Kinshasa","Kinshasa","-4.32758","15.31357","Democratic Republic of the Congo","CD","","Kinshasa","","16000000","5"
"Istanbul","Istanbul","41.01384","28.94966","Turkey","TR","","Istanbul","","15701602","6"
"Lagos","Lagos","6.45407","3.39467","Nigeria","NG","","Lagos","","15388000","7"
"Ho Chi Minh City","Ho Chi Minh City","10.82302","106.62965","Vietnam","VN","","Ho Chi Minh City (HCMC)","","14002598","8"
"Chengdu","Chengdu","30.66667","104.06667","China","CN","","Sichuan","","13568357","9"
"Lahore","Lahore","31.558","74.35071","Pakistan","PK","","Punjab","","13004135","10"
"Mumbai","Mumbai","19.07283","72.88261","India","IN","","Maharashtra","","12691836","11"
"São Paulo","Sao Paulo","-23.5475","-46.63611","Brazil","BR","","São Paulo","","12400232","12"
"Mexico City","Mexico City","19.42847","-99.12766","Mexico","MX","","Mexico City","","12294193","13"
"Karachi","Karachi","24.8608","67.0104","Pakistan","PK","","Sindh","","11624219","14"
"Tianjin","Tianjin","39.14222","117.17667","China","CN","","Tianjin","","11090314","15"
"Delhi","Delhi","28.65195","77.23149","India","IN","","Delhi","","11034555","16"
"Wuhan","Wuhan","30.58333","114.26667","China","CN","","Hubei","","10392693","17"
"Moscow","Moscow","55.75204","37.61781","Russia","RU","","Moscow","","10381222","18"
"Dhaka","Dhaka","23.7104","90.40744","Bangladesh","BD","","Dhaka Division","","10356500","19"
"Seoul","Seoul","37.566","126.9784","South Korea","KR","","Seoul","","10349312","20"
"Tokyo","Tokyo","35.6895","139.69171","Japan","JP","","Tokyo","","9733276","21"
"Dongguan","Dongguan","23.01797","113.74866","China","CN","","Guangdong","","9644871","22"
"Cairo","Cairo","30.06263","31.24967","Egypt","EG","","Cairo","","9606916","23"
"Xi’an","Xi'an","34.25833","108.92861","China","CN","","Shaanxi","","9600000","24"
"Johannesburg","Johannesburg","-26.20227","28.04363","South Africa","ZA","","Gauteng","","9418183","25"
"Nanjing","Nanjing","32.06167","118.77778","China","CN","","Jiangsu","","9314685","26"
"Hangzhou","Hangzhou","30.29365","120.16142","China","CN","","Zhejiang","","9236032","27"
"Foshan","Foshan","23.02677","113.13148","China","CN","","Guangdong","","9042509","28"
"London","London","51.50853","-0.12574","United Kingdom","GB","","England","","8961989","29"
"New York City","New York City","40.71427","-74.00597","United States","US","","New York","","8804190","30"
"Jakarta","Jakarta","-6.21462","106.84513","Indonesia","ID","","Jakarta","","8540121","31"
"Bengaluru","Bengaluru","12.97194","77.59369","India","IN","","Karnataka","","8495492","32"
"Hanoi","Hanoi","21.0245","105.84117","Vietnam","VN","","Hanoi","","8053663","33"
"Taipei","Taipei","25.05306","121.52639","Taiwan","TW","","Taiwan","","7871900","34"
"Lima","Lima","-12.04318","-77.02824","Peru","PE","","Lima Province","","7737002","35"
"Bogotá","Bogota","4.60971","-74.08175","Colombia","CO","","Bogota D.C.","","7674366","36"
"Chongqing","Chongqing","29.56026","106.55771","China","CN","","Chongqing","","7457599","37"
"Hong Kong","Hong Kong","22.27832","114.17469","Hong Kong","HK","","","","7396076","38"
"Baghdad","Baghdad","33.34058","44.40088","Iraq","IQ","","Baghdad","","7216000","39"
"Wuzhong","Wuzhong","37.9867","106.201","China","CN","","Ningxia","","7202654","40"
"Qingdao","Qingdao","36.06488","120.38042","China","CN","","Shandong","","7172451","41"
"Tehran","Tehran","35.69439","51.42151","Iran","IR","","Tehran","","7153309","42"
"Shenyang","Shenyang","41.79222","123.43278","China","CN","","Liaoning","","7050000","43"
"Hyderabad","Hyderabad","17.38405","78.45636","India","IN","","Telangana","","6993262","44"
"Rio de Janeiro","Rio de Janeiro","-22.90642","-43.18223","Brazil","BR","","Rio de Janeiro","","6747815","45"
"Suzhou","Suzhou","31.30408","120.59538","China","CN","","Jiangsu","","6715559","46"
"Ahmedabad","Ahmedabad","23.02579","72.58727","India","IN","","Gujarat","","6357693","47"
"Abidjan","Abidjan","5.35444","-4.00167","Ivory Coast","CI","","Abidjan Autonomous District","","6321017","48"
"Pudong","Pudong","31.23995","121.50094","China","CN","","Shanghai","","5681512","49"
"Singapore","Singapore","1.28967","103.85007","Singapore","SG","","","","5638700","50"
"Sydney","Sydney","-33.86785","151.20732","Australia","AU","","New South Wales","","5557233","51"
"Dar es Salaam","Dar es Salaam","-6.82349","39.26951","Tanzania","TZ","","Dar es Salaam Region","","5383728","52"
"Saint Petersburg","Saint Petersburg","59.93863","30.31413","Russia","RU","","St.-Petersburg","","5351935","53"
"Melbourne","Melbourne","-37.814","144.96332","Australia","AU","","Victoria","","5350705","54"
"Alexandria","Alexandria","31.20176","29.91582","Egypt","EG","","Alexandria","","5263542","55"
"Harbin","Harbin","45.75","126.65","China","CN","","Heilongjiang","","5242897","56"
"Bangkok","Bangkok","13.75398","100.50144","Thailand","TH","","Bangkok","","5104476","57"
"Hefei","Hefei","31.86389","117.28083","China","CN","","Anhui","","5050000","58"
"Dalian","Dalian","38.91222","121.60222","China","CN","","Liaoning","","4913879","59"
"Kano","Kano","12.00012","8.51672","Nigeria","NG","","Kano State","","4910000","60"
"Santiago","Santiago","-33.45694","-70.64827","Chile","CL","","Santiago Metropolitan","","4837295","61"
"Cape Town","Cape Town","-33.92584","18.42322","South Africa","ZA","","Western Cape","","4772846","62"
"Peshawar","Peshawar","34.008","71.57849","Pakistan","PK","","Khyber Pakhtunkhwa","","4758762","63"
"Changchun","Changchun","43.88","125.32278","China","CN","","Jilin","","4714996","64"
"Jeddah","Jeddah","21.49012","39.18624","Saudi Arabia","SA","","Mecca Region","","4697000","65"
"Chennai","Chennai","13.08784","80.27847","India","IN","","Tamil Nadu","","4681087","66"
"Kolkata","Kolkata","22.56263","88.36304","India","IN","","West Bengal","","4631392","67"
"Xiamen","Xiamen","24.47979","118.08187","China","CN","","Fujian","","4617251","68"
"Surat","Surat","21.19594","72.83023","India","IN","","Gujarat","","4591246","69"
"Yangon","Yangon","16.80528","96.15611","Myanmar","MM","","Yangon","","4477638","70"
"Bao'an","Bao'an","22.55213","113.88288","China","CN","","Guangdong","","4476554","71"
"Kabul","Kabul","34.52813","69.17233","Afghanistan","AF","","Kabul","","4434550","72"
"Nairobi","Nairobi","-1.28333","36.81667","Kenya","KE","","Nairobi County","","4397073","73"
"Wuxi","Wuxi","31.56887","120.28857","China","CN","","Jiangsu","","4396835","74"
"Giza","Giza","30.00944","31.20861","Egypt","EG","","Giza","","4367343","75"
"Jinan","Jinan","36.66833","116.99722","China","CN","","Shandong","","4335989","76"
"Taiyuan","Taiyuan","37.86944","112.56028","China","CN","","Shanxi","","4303673","77"
"Zhengzhou","Zhengzhou","34.75778","113.64861","China","CN","","Henan","","4253913","78"
"Bamako","Bamako","12.60915","-7.97522","Mali","ML","","Bamako","","4227569","79"
"Riyadh","Riyadh","24.68773","46.72185","Saudi Arabia","SA","","Riyadh Region","","4205961","80"
"New Taipei City","New Taipei City","25.06199","121.45703","Taiwan","TW","","Taipei","","4004367","81"
"New Territories","New Territories","22.42441","114.11095","Hong Kong","HK","","00","","3984077","82"
